"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUT","Austria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2014","2014",67.35,,
"AUT","Austria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2015","2015",74.08,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2000","2000",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2001","2001",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2002","2002",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2003","2003",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2004","2004",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2005","2005",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2006","2006",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2007","2007",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2008","2008",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2009","2009",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2010","2010",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2011","2011",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2012","2012",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2013","2013",0.01,,
"AUT","Austria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2014","2014",0.01,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",74.05,,
