time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-15T02:46:39.200Z,35.6178,-96.8917,5,3.2,ml,,37,,0.42,us,us10008sh9,2017-05-22T22:05:23.593Z,"9km S of Chandler, Oklahoma",earthquake,1.9,6.7,,,reviewed,tul,tul
2017-05-14T12:56:24.050Z,36.564,-89.599,13.61,3.02,md,45,31,0.01505,0.12,nm,nm60194166,2017-05-26T07:54:21.040Z,"3km SSE of Lilbourn, Missouri",earthquake,0.14,0.22,0.099,57,reviewed,nm,nm
2017-05-13T21:59:29.400Z,36.6998,-98.4312,5.53,3.2,ml,,92,,0.21,us,us10008s8y,2017-05-24T23:00:40.647Z,"9km SW of Cherokee, Oklahoma",earthquake,1.8,2,,,reviewed,tul,tul
2017-05-13T13:55:05.200Z,36.4771,-98.7385,5.794,3.2,ml,,45,,0.2,us,us10008s6c,2017-06-12T14:35:38.040Z,"32km NW of Fairview, Oklahoma",earthquake,1.2,3.8,,,reviewed,tul,tul
2017-05-13T09:06:47.600Z,36.4801,-98.7407,6.439,3,ml,,46,,0.18,us,us10008s4t,2017-06-07T06:26:01.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.6,2.3,,,reviewed,tul,tul
2017-05-13T08:32:37.300Z,36.4782,-98.7365,5.367,4.2,mwr,,46,,0.68,us,us10008s4j,2017-06-03T12:30:03.972Z,"32km NW of Fairview, Oklahoma",earthquake,2.8,4.2,0.039,63,reviewed,tul,us
2017-05-13T08:20:49.000Z,36.4617,-98.7521,5,3,ml,,41,,0.18,us,us10008s4h,2017-06-03T12:22:18.040Z,"32km NW of Fairview, Oklahoma",earthquake,1.5,3.2,,,reviewed,tul,tul
2017-05-12T17:54:35.300Z,36.4561,-98.7885,5.269,3.4,ml,,37,,0.33,us,us10008rz4,2017-06-06T21:42:11.417Z,"34km NW of Fairview, Oklahoma",earthquake,1.5,2.7,,,reviewed,tul,tul
2017-05-12T16:37:04.800Z,36.4562,-98.7888,5.832,3.6,ml,,37,,0.43,us,us10008ry0,2017-06-11T17:30:04.759Z,"34km NW of Fairview, Oklahoma",earthquake,1.6,7.2,,,reviewed,tul,tul
2017-05-12T13:15:15.400Z,36.4566,-98.7929,5.57,3.2,ml,,80,,0.52,us,us10008rul,2017-05-20T08:14:19.613Z,"34km NW of Fairview, Oklahoma",earthquake,2.4,7.6,,,reviewed,tul,tul
